N,lComparisons,lExchanges,lTime(ns),aComparisons,aExchanges,aTime(ns),tComparisons,tExchanges,tTime(ns)
50,225,286,1187,242,89,714,732,732,3155
100,544,672,1100,570,196,647,2785,2785,4308
150,898,1094,1608,1044,327,959,5676,5676,7264
200,1283,1544,520,1551,427,758,10568,10568,7264
250,1683,1994,560,2003,561,2838,16192,16192,10055
300,2092,2488,525,2763,686,534,21658,21658,13000
350,2501,2988,679,3587,807,500,29580,29580,10418
400,2976,3488,751,3888,945,552,42785,42785,8144
450,3400,3988,863,4112,1123,617,52332,52332,9615
500,3856,4488,978,4454,1245,655,62604,62604,15614
550,4317,5026,957,4860,1391,708,74710,74710,12468
600,4802,5576,1070,5601,1552,790,89781,89781,16731
650,5262,6126,1161,6192,1673,867,108439,108439,21309
700,5747,6676,1274,8250,1808,1065,122347,122347,22067
750,6224,7226,1469,8506,1954,1109,142764,142764,27316
800,6722,7776,1481,8222,2093,1237,161687,161687,30746
850,7224,8326,1729,8638,2245,1152,189381,189381,34626
900,7720,8876,1812,9541,2400,1266,206520,206520,40932
950,8222,9426,5281,10033,2574,1617,231817,231817,41300
1000,8708,9976,1944,11204,2739,1463,249405,249405,47445
